LABEL / PART DESCRIPTION,MATERIAL,QTY,DIM,LEN,ANGLE,NOTES
P.0108.04800.SI Siding Bearing-PORCH,PINE KD Rough Sawn Pine,2,1x8,48,90,
P.0108.09300.SI Siding Bearing,PINE KD Rough Sawn Pine,4,1x8,93,90,
P.0108.16800.RP Ridge,PINE KD Rough Sawn Pine,2,1x8,168,90,"Mark Crown Up, Layout 24"" OC all sides"
P.0108.14400.RP Ridge,PINE KD Rough Sawn Pine,1,1x8,144,90,"Mark Crown Up, Layout 24"" OC all side"
