LABEL / PART DESCRIPTION,MATERIAL,QTY,DIM,LEN,ANGLE,NOTES
H.0404.07800.WP Post Wall,HEM Hemlock,11,4x4,78,90,"Mark bottom of post, Layout 40-42"""
H.0404.07734.PP Porch Post,HEM Hemlock,2,4x4,77.75,90,PORCH POSTS
H.0404.11100.BE1 Beam Bearing #1,HEM Hemlock,2,4x4,111,90,"Mark crown up- 1/2 lap both ends-TOP layout 24"" OC"
H.0404.11100.BE2 Beam Bearing #2,HEM Hemlock,4,4x4,111,90,"1/2 lap both ends-ROTATE 180- layout 24"" OC"
H.0404.15900.BE Beam Bearing,HEM Hemlock,2,4x4,159,90,"Mark crown up- half lap one end-BOTTOM- Notch 48-52"" from square end- Layout 24"" OC"
H.0404.14400.GB Beam Gable,HEM Hemlock,1,4x4,144,90,"1/2 lap both ends-BOTTOM. Layout Bottom 70-74"""
H.0404.05234.BE Beam Front Wall,HEM Hemlock,2,4x4,52.75,90,1/2 lap ONE end-Bottom
H.0404.07800.DP Door Post,HEM Hemlock,2,4x4,78,90,"Mark bottom of post- Layout 40-42"""
H.0404.03000.AB Angle Brace,HEM Hemlock,20,4x4,30,45,
