LABEL / PART DESCRIPTION,MATERIAL,QTY,DIM,LEN,ANGLE,NOTES
P.0106.09000.SI Siding Front,PINE KD Rough Sawn Pine,2,1x6,90,18.5,Long point to Square
P.0106.07538.PT Porch Trim,PINE KD Rough Sawn Pine,2,1x6,75.38,18.5,Long to Short
P.0106.14700.PT Porch Trim,PINE KD Rough Sawn Pine,1,1x6,147,90,Long to Short
P.0106.04800.PT Porch Trim,PINE KD Rough Sawn Pine,2,1x6,48,90,
