LABEL / PART DESCRIPTION,MATERIAL,QTY,DIM,LEN,ANGLE,NOTES
P.0204.19200.ST Shadow Bearing,PINE KD Rough Sawn Pine,4,2x4,192,90,"Intentionally Long, install and cut to ft"
P.0204.12000.ST Shadow Bearing,PINE KD Rough Sawn Pine,2,2x4,120,90,"Intentionally Long, install and cut to ft"
P.0204.08300.ST Shadow Gable,PINE KD Rough Sawn Pine,4,2x4,83,18.5,Long point to Short point - install and cut to ft
