LABEL / PART DESCRIPTION,MATERIAL,QTY,DIM,LEN,ANGLE,NOTES
H.0106.05000.FM Porch Boards,HEM Hemlock,23,1x6,50,90,
H.0106.08200.TI Collar Tie,HEM Hemlock,17,1x6,82,71.5,Long Point to long point
